Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap,Grade
BLRX,-0.059801,0.000696,2.83,12439084.547654,D
BLTE,0.098032,0.000925,190.3,6501285666.785568,B
BLUW,0.000968,1.5e-05,10.34,333095493.556976,C
BLZE,-0.162584,0.002488,3.76,222494941.860552,C
BLZR,-0.005935,1e-06,10.05,345124998.688698,C
BMBL,-0.08982,0.002327,3.04,486382997.604883,C
BMEA,0.245455,0.001807,1.37,98278057.198576,D
BMGL,-0.178082,0.001956,0.6,11083592.007324,D
BMHL,0.019022,0.000437,3.75,95700555.0,D
BMM,0.199531,0.004308,5.11,485037961.209142,C
BMR,-0.175,0.002719,1.65,26866647.716208,D
BMRA,-0.136929,0.001119,2.08,5798530.430393,D
BMRC,-0.091937,0.000485,24.89,394354800.944387,C
BMRN,0.065229,0.000233,61.73,11754803496.65649,A
BNAI,0.530017,0.023554,35.68,328282108.710617,C
BNBX,-0.458015,0.007376,0.71,3813228.235061,D
BNC,-0.294845,0.002424,3.42,153339025.080434,D
BNGO,-0.094488,0.000662,1.15,10841896.846159,D
BNKK,-0.032419,0.002889,3.88,16611197.268528,D
BNR,-0.346572,0.004508,25.83,239556761.0,C
BNRG,-0.58194,0.01058,1.25,1294309.89427,D
BNTC,-0.125201,0.001029,10.9,388450661.946884,C
BNTX,0.012399,0.000275,110.23,25469469805.5,A
BNZI,0.056277,0.004028,1.22,15560526.627398,D
BODI,-0.434606,0.000929,6.96,58618069.234646,D
BOF,0.501639,0.002481,4.58,47070714.472108,D
BOKF,-0.030572,0.00023,125.72,7621683972.626839,B
BOLD,0.026549,0.000623,1.16,25295740.323257,D
BOLT,-0.235195,0.002199,4.52,8253600.966105,D
BON,0.011905,0.000424,1.7,14849147.927979,D
BOOM,-0.310304,0.007864,5.89,111806319.155409,D
BOSC,-0.074747,0.000197,4.58,29259780.117989,D
BOTJ,0.000824,0.000278,19.92,90775891.160225,D
BOXL,0.096,0.026867,1.37,1237436.154611,D
BPOP,-0.00973,0.000492,135.36,8719737455.509796,A
BPRN,-0.094133,0.000213,33.97,228149528.259277,C
BRAG,-0.225806,0.001162,1.68,40973659.944058,D
BRBI,-0.018065,0.005046,15.22,368534920.038683,C
BRCB,-0.138799,0.002866,13.34,290666642.091499,C
BRFH,-0.143312,0.002006,2.69,42637984.15836,D
BRID,-0.03534,0.000416,7.37,66170112.223746,D
BRKR,-0.0832,0.001402,40.11,5583402136.453629,B
BRLS,0.656627,0.119413,1.65,36272990.05814,D
BRLT,-0.012739,0.001216,1.55,135151919.236869,D
BRNS,-0.194483,0.003056,0.584,24620702.255448,D
BRR,0.162281,0.004917,2.65,223155919.147092,C
BRTX,-0.801391,0.035634,0.2284,4600121.098421,D
BRZE,-0.084378,0.002646,18.99,2469929245.147705,B
BSAA,0.003922,0.0,10.24,75474898.588657,D
BSBK,-0.005855,0.000131,8.49,107510505.925283,D
BSET,-0.040686,0.000552,14.97,125855950.401999,D
BSRR,-0.024274,0.000361,35.98,455572268.163559,C
BSVN,-0.102581,0.000295,40.68,391943194.193359,C
BSY,0.067465,0.001969,36.55,12078536053.424795,A
BTAI,0.056962,0.002145,1.67,32366847.097127,D
BTBD,-0.030075,0.001301,1.29,9478274.725216,D
BTBT,-0.139175,0.005095,1.67,524353229.383402,C
